id,question_text,column
1,I easily get upset over trifles,1
2,I often feel vulnerable,1
3,It's important for me to be understood,1
4,I react sharply to criticism,1
5,I need time to get used to new things,1
6,I feel other people's emotions,1
7,It's important for me to feel support,1
8,I often feel tired,2
9,It's hard for me to be happy,2
10,I tend to be pessimistic,2
11,I need more time to recover,2
12,I often feel depressed,2
13,It's hard for me to concentrate,2
14,I often feel anxious,2
15,It's important for me to be the center of attention,3
16,I love telling stories,3
17,I like being in the spotlight,3
18,I easily make acquaintances,3
19,It's important for me to make an impression,3
20,I love being a leader,3
21,I like speaking in public,3
22,My mood often changes,4
23,I easily get excited,4
24,It's hard for me to control emotions,4
25,I often act impulsively,4
26,It's hard for me to plan,4
27,I often change plans,4
28,It's hard for me to finish things,4
29,I often worry,5
30,It's hard for me to relax,5
31,I often feel tense,5
32,It's hard for me to make decisions,5
33,I often worry about the future,5
34,It's hard for me to cope with stress,5
35,I often feel unsafe,5
36,It's important for me that everything is in order,6
37,I pay attention to details,6
38,I need to plan everything,6
39,I love structure and order,6
40,It's important for me to follow rules,6
41,I often check if everything is done correctly,6
42,It's hard for me to accept uncertainty,6
43,I often feel delight,7
44,It's easy for me to get inspired,7
45,I often feel enthusiasm,7
46,I like to dream,7
47,I often feel inspiration,7
48,It's easy for me to get carried away by new things,7
49,I often feel joy,7
50,I cry easily,8
51,I react sharply to art,8
52,It's easy for me to empathize,8
53,I often feel deep emotions,8
54,It's important for me to feel beauty,8
55,I easily get moved to tears,8
56,It's important for me to have emotional communication,8
57,I often experience irritation,9
58,I easily lose my temper,9
59,It's hard for me to restrain anger,9
60,I often conflict with others,9
61,It's hard for me to forgive offenses,9
62,I often feel injustice,9
63,It's hard for me to control aggression,9
