id,concept,category,description
1,Health,values,"Physical and mental well-being"
2,Love,values,"Feeling of deep attachment and care"
3,Freedom,values,"Ability to act according to one's choice"
4,Safety,values,"Protection from threats and dangers"
5,Wealth,values,"Material well-being and prosperity"
6,Knowledge,values,"Education and intellectual development"
7,Creativity,values,"Creating new things and self-expression"
8,Family,values,"Loved ones and home"
9,Friendship,values,"Mutual support and understanding"
10,Success,values,"Achieving set goals"
11,Work,activities,"Professional activity"
12,Study,activities,"Gaining new knowledge and skills"
13,Sports,activities,"Physical activity and training"
14,Business,activities,"Entrepreneurial activity"
15,Religion,activities,"Spiritual practices and faith"
16,Art,activities,"Creative activities and cultural activities"
17,Travel,activities,"Trips and new experiences"
18,Rest,activities,"Restoration of strength and relaxation"
19,Myself,people,"Personality and individuality"
20,Doctor,people,"Medical specialist"
21,Medical staff,people,"Medical institution personnel"
22,Colleagues,people,"People at work"
23,Neighbors,people,"People living nearby"
24,Past,events,"Life experience and memories"
25,Present,events,"Current moment of life"
26,Future,events,"Upcoming events and plans"
27,Illness,events,"Disease and treatment"
28,Treatment,events,"Medical procedures and therapy"
29,Changes,events,"Changes in life"
30,Happiness,emotions,"State of joy and satisfaction"
31,Joy,emotions,"Positive emotions"
32,Fear,emotions,"Feeling of danger and anxiety"
33,Anxiety,emotions,"Worry and excitement"
34,Fatigue,emotions,"Physical and mental exhaustion"
35,Suffering,emotions,"Pain and mental anguish"
36,Hope,emotions,"Faith in a better future"
37,Pride,emotions,"Feeling of self-worth"
38,Shame,emotions,"Feeling of guilt and embarrassment"
39,Anger,emotions,"Irritation and anger"
40,Calm,emotions,"Inner balance"
41,Inspiration,emotions,"Creative uplift and enthusiasm"
42,Loneliness,emotions,"Feeling of isolation"
43,Recognition,values,"Public approval and respect"
44,Power,values,"Influence and control over situation"
45,Justice,values,"Honesty and truth"
46,Beauty,values,"Aesthetic perception"
47,Wisdom,values,"Life experience and understanding"
48,Loyalty,values,"Devotion and reliability"
49,Courage,values,"Boldness and determination"
50,Patience,values,"Ability to wait and endure"
51,Music,activities,"Sound art"
52,Books,activities,"Reading and literature"
53,Cooking,activities,"Food preparation"
54,Gardening,activities,"Working with plants"
55,Fishing,activities,"Catching fish"
56,Hunting,activities,"Game hunting"
57,Photography,activities,"Shooting and image processing"
58,Computers,activities,"Working with technology"
59,Volunteering,activities,"Selfless help"
60,Politics,activities,"Public activity"
61,Death,events,"End of life"
62,Birth,events,"Beginning of life"
63,Wedding,events,"Creating a family"
64,Divorce,events,"Family breakdown"
65,Relocation,events,"Change of residence"
